old_ministry,new_ministry,reason,news_item_id,title,old_path,new_path
지원,환경부,inferred,156389946,"코로나19 이후 대비, 중소환경기업 지원사업 대폭 확대",data/2020/2020-05/2020-05-13/052_지원_코로나19_이후_대비_중소환경기업_지원사업_대폭_확대.md,data/2020/2020-05/2020-05-13/052_환경부_코로나19_이후_대비_중소환경기업_지원사업_대폭_확대.md
온실,환경부,inferred,156390196,"배출권거래제 대상업체, 온실가스 배출량 첫 감소",data/2020/2020-05/2020-05-14/039_온실_배출권거래제_대상업체_온실가스_배출량_첫_감소.md,data/2020/2020-05/2020-05-14/039_환경부_배출권거래제_대상업체_온실가스_배출량_첫_감소.md
지원,여성가족부,inferred,156390225,"다누리콜센터, 생활 속 거리두기 방역수칙 등 12개 외국어로 통번역 지원",data/2020/2020-05/2020-05-14/045_지원_다누리콜센터_생활_속_거리두기_방역수칙_등_12개_외국어로_통번역_지원.md,data/2020/2020-05/2020-05-14/045_여성가족부_다누리콜센터_생활_속_거리두기_방역수칙_등_12개_외국어로_통번역_지원.md
일부,환경부,inferred,156390200,국민 삶의 질을 높이는 환경정책을 찾습니다,data/2020/2020-05/2020-05-14/048_일부_국민_삶의_질을_높이는_환경정책을_찾습니다.md,data/2020/2020-05/2020-05-14/048_환경부_국민_삶의_질을_높이는_환경정책을_찾습니다.md
산업부,산업통상자원부,alias,156390275,포스트 코로나를 개척하는 수소트럭 시대 개막,data/2020/2020-05/2020-05-14/076_산업부_포스트_코로나를_개척하는_수소트럭_시대_개막.md,data/2020/2020-05/2020-05-14/076_산업통상자원부_포스트_코로나를_개척하는_수소트럭_시대_개막.md
지원,산업통상자원부,inferred,156390424,"중소사업장 에너지효율 개선, 직접 찾아가서 지원한다.",data/2020/2020-05/2020-05-15/055_지원_중소사업장_에너지효율_개선_직접_찾아가서_지원한다.md,data/2020/2020-05/2020-05-15/055_산업통상자원부_중소사업장_에너지효율_개선_직접_찾아가서_지원한다.md
정부,아동·청,inferred,156390450,(설명자료)인터넷 사업자의 디지털성범죄물 유통방지 의무 강화 법안은 사적검열의 우려가 없습니다.,data/2020/2020-05/2020-05-15/062_정부_설명자료_인터넷_사업자의_디지털성범죄물_유통방지_의무_강화_법안은_사적검열의_우려가_없습니다.md,data/2020/2020-05/2020-05-15/062_아동_청_설명자료_인터넷_사업자의_디지털성범죄물_유통방지_의무_강화_법안은_사적검열의_우려가_없습니다.md
일부,국립생태원,inferred,156390573,자연에서 찾는다…생태모방 아이디어 공모전 개최,data/2020/2020-05/2020-05-17/014_일부_자연에서_찾는다_생태모방_아이디어_공모전_개최.md,data/2020/2020-05/2020-05-17/014_국립생태원_자연에서_찾는다_생태모방_아이디어_공모전_개최.md
국립공원,환경부,inferred,156390608,아름다운 국립공원을 사진에 담아주세요,data/2020/2020-05/2020-05-18/003_국립공원_아름다운_국립공원을_사진에_담아주세요.md,data/2020/2020-05/2020-05-18/003_환경부_아름다운_국립공원을_사진에_담아주세요.md
여가부,여성가족부,alias,156390690,"이정옥 장관, 전남지역 여성정책 현장점검 나서",data/2020/2020-05/2020-05-18/004_여가부_이정옥_장관_전남지역_여성정책_현장점검_나서.md,data/2020/2020-05/2020-05-18/004_여성가족부_이정옥_장관_전남지역_여성정책_현장점검_나서.md
정부,산업통상자원부,inferred,156390788,"(설명자료)’21.3월 이후 ‘한국원전산업이 올스톱 한다’는 주장은 사실과 다르며, 정부는 보완대책(’18.6~) 등을 통해 핵심 생태계의 경쟁력 유지 등을 적극 지원해 나가겠음(조선일보 5.18일자 보도에 대한 설명)",data/2020/2020-05/2020-05-18/087_정부_설명자료_21_3월_이후_한국원전산업이_올스톱_한다_는_주장은_사실과_다르며_정부는_보완대책_18_6_등을_통해_핵심_생태계의_경쟁력_유지_등을.md,data/2020/2020-05/2020-05-18/087_산업통상자원부_설명자료_21_3월_이후_한국원전산업이_올스톱_한다_는_주장은_사실과_다르며_정부는_보완대책_18_6_등을_통해_핵심_생태계의_경쟁력_유지_등을.md
대부,산업통상자원부,inferred,156390789,(설명자료)대부분의 신재생에너지보급지원사업은 적법하게 운영 중이며 전수감사 결과 밝혀진 일부 위반업체에 대해서는 제재 조치중임(아시아경제 5.18일자 보도에 대한 설명),data/2020/2020-05/2020-05-18/088_대부_설명자료_대부분의_신재생에너지보급지원사업은_적법하게_운영_중이며_전수감사_결과_밝혀진_일부_위반업체에_대해서는_제재_조치중임_아시아경제_5_18.md,data/2020/2020-05/2020-05-18/088_산업통상자원부_설명자료_대부분의_신재생에너지보급지원사업은_적법하게_운영_중이며_전수감사_결과_밝혀진_일부_위반업체에_대해서는_제재_조치중임_아시아경제_5_18.md
세부,환경부,inferred,156390842,대기분야 자가측정 실효성 높인다,data/2020/2020-05/2020-05-19/030_세부_대기분야_자가측정_실효성_높인다.md,data/2020/2020-05/2020-05-19/030_환경부_대기분야_자가측정_실효성_높인다.md
일부,산업통상자원부,inferred,156390830,"(설명자료)수출활력 제고방안(4.8) 등 무역금융(무보) 지원은 차질없이 추진중이며, 시행초기의 일부 신규 프로그램은 조속히 집행될 수 있도록 노력하겠음(서울경제 5.18일자 보도에 대한 설명)",data/2020/2020-05/2020-05-19/036_일부_설명자료_수출활력_제고방안_4_8_등_무역금융_무보_지원은_차질없이_추진중이며_시행초기의_일부_신규_프로그램은_조속히_집행될_수_있도록_노력하겠.md,data/2020/2020-05/2020-05-19/036_산업통상자원부_설명자료_수출활력_제고방안_4_8_등_무역금융_무보_지원은_차질없이_추진중이며_시행초기의_일부_신규_프로그램은_조속히_집행될_수_있도록_노력하겠.md
산업부,산업통상자원부,alias,156390913,"산업부, 수소차 약 5만대분 수소를 새롭게 확보",data/2020/2020-05/2020-05-19/049_산업부_산업부_수소차_약_5만대분_수소를_새롭게_확보.md,data/2020/2020-05/2020-05-19/049_산업통상자원부_산업부_수소차_약_5만대분_수소를_새롭게_확보.md
고부,여성가족부,inferred,156390959,"경력단절여성, '여성새로일하기센터'에서 직업교육훈련 받으세요!",data/2020/2020-05/2020-05-19/062_고부_경력단절여성_여성새로일하기센터_에서_직업교육훈련_받으세요.md,data/2020/2020-05/2020-05-19/062_여성가족부_경력단절여성_여성새로일하기센터_에서_직업교육훈련_받으세요.md
국립공원,환경부,inferred,156390933,"우리나라 생태계 최상위 포식자 담비, 사냥 모습 포착",data/2020/2020-05/2020-05-19/063_국립공원_우리나라_생태계_최상위_포식자_담비_사냥_모습_포착.md,data/2020/2020-05/2020-05-19/063_환경부_우리나라_생태계_최상위_포식자_담비_사냥_모습_포착.md
위원,법제처,inferred,156391032,2020년 제28차 위원회 결과,data/2020/2020-05/2020-05-19/095_위원_2020년_제28차_위원회_결과.md,data/2020/2020-05/2020-05-19/095_법제처_2020년_제28차_위원회_결과.md
자원,환경부,inferred,156391261,(참고)자원재활용법 등 4개 환경법안 20대 국회 통과,data/2020/2020-05/2020-05-19/106_자원_참고_자원재활용법_등_4개_환경법안_20대_국회_통과.md,data/2020/2020-05/2020-05-19/106_환경부_참고_자원재활용법_등_4개_환경법안_20대_국회_통과.md
산업부,산업통상자원부,alias,156391135,"산업부, 수소버스용 충전소 실증사업 지원 대상 선정",data/2020/2020-05/2020-05-20/051_산업부_산업부_수소버스용_충전소_실증사업_지원_대상_선정.md,data/2020/2020-05/2020-05-20/051_산업통상자원부_산업부_수소버스용_충전소_실증사업_지원_대상_선정.md
일부,환경부,inferred,156391140,인공지능 예측기술로 오존예보 정확도 높인다,data/2020/2020-05/2020-05-20/057_일부_인공지능_예측기술로_오존예보_정확도_높인다.md,data/2020/2020-05/2020-05-20/057_환경부_인공지능_예측기술로_오존예보_정확도_높인다.md
년부,환경부,inferred,156391180,"대형 수소 화물차, 푸른하늘 희망으로",data/2020/2020-05/2020-05-20/070_년부_대형_수소_화물차_푸른하늘_희망으로.md,data/2020/2020-05/2020-05-20/070_환경부_대형_수소_화물차_푸른하늘_희망으로.md
월부,환경부,inferred,156391182,댐물 흘려보내 섬진강의 재첩 서식지 지킨다,data/2020/2020-05/2020-05-20/073_월부_댐물_흘려보내_섬진강의_재첩_서식지_지킨다.md,data/2020/2020-05/2020-05-20/073_환경부_댐물_흘려보내_섬진강의_재첩_서식지_지킨다.md
정부,외교부,inferred,156391422,(공동-보도)국민과 함께하는 공공외교 활성화 계획 추진,data/2020/2020-05/2020-05-20/106_정부_공동_보도_국민과_함께하는_공공외교_활성화_계획_추진.md,data/2020/2020-05/2020-05-20/106_외교부_공동_보도_국민과_함께하는_공공외교_활성화_계획_추진.md
산업부,산업통상자원부,alias,156391360,"산업부, 적극행정으로 코로나19 위기극복에 앞장선다",data/2020/2020-05/2020-05-21/041_산업부_산업부_적극행정으로_코로나19_위기극복에_앞장선다.md,data/2020/2020-05/2020-05-21/041_산업통상자원부_산업부_적극행정으로_코로나19_위기극복에_앞장선다.md
복원,환경부,inferred,156391389,"자연에서 답을 찾다, 2020년 생물다양성의 날 기념식 개최",data/2020/2020-05/2020-05-21/065_복원_자연에서_답을_찾다_2020년_생물다양성의_날_기념식_개최.md,data/2020/2020-05/2020-05-21/065_환경부_자연에서_답을_찾다_2020년_생물다양성의_날_기념식_개최.md
피부,무역위원회,inferred,156391437,"무역위원회,「양말편직기계 특허권 침해」불공정무역행위 판정,「피부용 의료기기 특허권 침해」건은 비침해 판정 및 「일본산 공기압전송용밸브 WTO판정 이행보고서」 채택",data/2020/2020-05/2020-05-21/075_피부_무역위원회_양말편직기계_특허권_침해_불공정무역행위_판정_피부용_의료기기_특허권_침해_건은_비침해_판정_및_일본산_공기압전송용밸브_WTO판정_이행.md,data/2020/2020-05/2020-05-21/075_무역위원회_무역위원회_양말편직기계_특허권_침해_불공정무역행위_판정_피부용_의료기기_특허권_침해_건은_비침해_판정_및_일본산_공기압전송용밸브_WTO판정_이행.md
